id_mission,id_projet,id_intervenant,description,date_debut,date_fin,statut
1,20,129,Mission: Front-end sur Intégration API (projet 20).,2025-04-27,2025-04-29,en_negociation
2,70,127,Mission: SEO sur Maintenance WordPress (projet 70).,2025-01-02,2025-01-26,termine
3,28,18,Mission: Front-end sur Intégration API (projet 28).,2025-04-24,2025-05-08,en_negociation
4,46,22,Mission: Back-end sur Site vitrine (projet 46).,2024-05-23,2024-05-29,en_negociation
5,31,58,Mission: QA sur Développement Back-office (projet 31).,2025-03-30,2025-04-15,en_cours
6,17,114,Mission: SEO sur Audit accessibilité (projet 17).,2025-10-09,2025-11-06,en_cours
7,16,63,Mission: SEO sur Site vitrine (projet 16).,2024-08-01,2024-08-18,en_negociation
8,71,97,Mission: Design sur Audit accessibilité (projet 71).,2025-08-30,2025-09-11,en_negociation
9,63,58,Mission: Design sur Maintenance WordPress (projet 63).,2025-12-13,2025-12-21,termine
10,29,23,Mission: SEO sur Développement Back-office (projet 29).,2025-05-05,2025-06-01,en_cours
11,7,136,Mission: Design sur Site e-commerce (projet 7).,2025-10-14,2025-10-20,termine
12,50,61,Mission: Design sur Intégration API (projet 50).,2024-05-03,2024-05-10,en_negociation
13,27,2,Mission: Design sur Refonte UI/UX (projet 27).,2025-01-17,2025-01-26,en_negociation
14,78,122,Mission: Front-end sur Refonte UI/UX (projet 78).,2025-03-25,2025-04-02,en_negociation
15,18,7,Mission: QA sur Site e-commerce (projet 18).,2025-11-11,2025-11-21,en_negociation
16,39,116,Mission: Design sur Développement Back-office (projet 39).,2024-10-12,2024-10-29,en_cours
17,21,126,Mission: Design sur Maintenance WordPress (projet 21).,2024-06-11,2024-06-25,termine
18,28,82,Mission: Front-end sur Intégration API (projet 28).,2025-05-06,2025-05-17,en_cours
19,59,122,Mission: SEO sur Dashboard analytics (projet 59).,2024-03-01,2024-03-10,en_cours
20,38,50,Mission: QA sur Dashboard analytics (projet 38).,2025-08-03,2025-08-15,en_cours
21,73,130,Mission: QA sur Landing page (projet 73).,2024-09-16,2024-09-25,en_cours
22,9,94,Mission: Design sur Audit accessibilité (projet 9).,2024-11-28,2024-12-05,en_cours
23,27,22,Mission: QA sur Refonte UI/UX (projet 27).,2025-02-03,2025-02-22,en_cours
24,8,32,Mission: Design sur Développement Back-office (projet 8).,2025-11-20,2025-11-28,termine
25,59,17,Mission: QA sur Dashboard analytics (projet 59).,2024-01-22,2024-01-30,en_negociation
26,55,28,Mission: Front-end sur Intégration API (projet 55).,2025-12-04,2025-12-12,en_cours
27,57,41,Mission: QA sur Audit accessibilité (projet 57).,2025-10-17,2025-11-20,en_cours
28,74,140,Mission: Back-end sur Intégration API (projet 74).,2025-06-28,2025-07-03,en_cours
29,13,35,Mission: SEO sur Refonte UI/UX (projet 13).,2025-02-21,2025-02-28,en_negociation
30,28,89,Mission: QA sur Intégration API (projet 28).,2025-05-10,2025-06-05,en_cours
31,27,55,Mission: Front-end sur Refonte UI/UX (projet 27).,2024-12-19,2025-01-06,en_negociation
32,52,40,Mission: QA sur Site e-commerce (projet 52).,2025-11-22,2025-12-08,en_cours
33,24,52,Mission: QA sur Site e-commerce (projet 24).,2024-12-23,2024-12-30,en_cours
34,34,51,Mission: Back-end sur Site vitrine (projet 34).,2024-05-13,2024-06-10,termine
35,45,44,Mission: Front-end sur Développement Back-office (projet 45).,2024-09-30,2024-10-01,en_cours
36,5,80,Mission: Front-end sur Audit accessibilité (projet 5).,2024-04-12,2024-04-13,en_cours
37,32,62,Mission: Back-end sur Site vitrine (projet 32).,2025-02-21,2025-03-01,termine
38,19,120,Mission: SEO sur Maintenance WordPress (projet 19).,2024-05-27,2024-06-07,termine
39,1,45,Mission: Back-end sur Site e-commerce (projet 1).,2024-06-29,2024-07-22,en_cours
40,75,83,Mission: QA sur Dashboard analytics (projet 75).,2025-01-16,2025-02-02,en_cours
41,32,101,Mission: Back-end sur Site vitrine (projet 32).,2025-03-06,2025-04-03,termine
42,32,94,Mission: Back-end sur Site vitrine (projet 32).,2025-02-28,2025-03-18,termine
43,71,76,Mission: QA sur Audit accessibilité (projet 71).,2025-08-28,2025-09-19,termine
44,5,44,Mission: QA sur Audit accessibilité (projet 5).,2024-04-06,2024-04-13,en_cours
45,38,32,Mission: SEO sur Dashboard analytics (projet 38).,2025-08-13,2025-08-15,termine
46,38,6,Mission: QA sur Dashboard analytics (projet 38).,2025-08-13,2025-08-15,en_negociation
47,61,46,Mission: Back-end sur Site e-commerce (projet 61).,2025-01-13,2025-01-15,termine
48,26,2,Mission: Front-end sur Site e-commerce (projet 26).,2025-01-04,2025-01-23,en_negociation
49,23,123,Mission: Back-end sur Landing page (projet 23).,2024-06-04,2024-06-10,en_cours
50,60,135,Mission: SEO sur Site vitrine (projet 60).,2025-10-09,2025-10-16,termine
51,75,77,Mission: QA sur Dashboard analytics (projet 75).,2025-02-18,2025-02-19,termine
52,27,74,Mission: Design sur Refonte UI/UX (projet 27).,2025-01-25,2025-02-10,en_cours
53,71,48,Mission: Back-end sur Audit accessibilité (projet 71).,2025-08-07,2025-09-11,termine
54,64,133,Mission: Back-end sur Maintenance WordPress (projet 64).,2024-11-15,2024-12-09,en_cours
55,12,31,Mission: QA sur Dashboard analytics (projet 12).,2024-05-25,2024-06-09,termine
56,79,59,Mission: Design sur Site vitrine (projet 79).,2024-06-09,2024-06-27,en_cours
57,71,93,Mission: QA sur Audit accessibilité (projet 71).,2025-09-16,2025-09-19,en_cours
58,71,13,Mission: Design sur Audit accessibilité (projet 71).,2025-08-16,2025-09-05,termine
59,51,131,Mission: SEO sur Site vitrine (projet 51).,2024-03-20,2024-03-20,en_negociation
60,20,46,Mission: QA sur Intégration API (projet 20).,2025-04-17,2025-04-27,en_cours
61,38,23,Mission: Design sur Dashboard analytics (projet 38).,2025-08-15,2025-08-15,en_negociation
62,26,115,Mission: Design sur Site e-commerce (projet 26).,2024-12-31,2025-01-23,termine
63,46,95,Mission: Front-end sur Site vitrine (projet 46).,2024-05-26,2024-06-06,en_cours
64,61,1,Mission: Design sur Site e-commerce (projet 61).,2025-01-12,2025-01-15,en_cours
65,77,70,Mission: QA sur Audit accessibilité (projet 77).,2024-09-05,2024-09-19,termine
66,6,61,Mission: SEO sur Développement Back-office (projet 6).,2025-06-14,2025-06-30,en_cours
67,57,60,Mission: Back-end sur Audit accessibilité (projet 57).,2025-10-08,2025-10-27,en_cours
68,77,70,Mission: Design sur Audit accessibilité (projet 77).,2024-09-09,2024-09-19,en_cours
69,23,61,Mission: QA sur Landing page (projet 23).,2024-06-08,2024-06-10,termine
70,47,66,Mission: Design sur Site e-commerce (projet 47).,2024-09-18,2024-10-04,en_cours
71,33,68,Mission: Design sur Développement Back-office (projet 33).,2025-07-05,2025-08-06,en_cours
72,55,37,Mission: QA sur Intégration API (projet 55).,2026-01-22,2026-02-25,en_cours
73,30,39,Mission: SEO sur Optimisation SEO (projet 30).,2024-04-12,2024-04-19,termine
74,2,135,Mission: SEO sur Site e-commerce (projet 2).,2025-10-07,2025-10-30,en_negociation
75,23,127,Mission: Design sur Landing page (projet 23).,2024-05-23,2024-06-10,en_negociation
76,22,84,Mission: Front-end sur Intégration API (projet 22).,2025-11-15,2025-12-11,en_cours
77,61,126,Mission: Back-end sur Site e-commerce (projet 61).,2025-01-13,2025-01-15,en_cours
78,5,62,Mission: SEO sur Audit accessibilité (projet 5).,2024-04-04,2024-04-13,en_cours
79,15,107,Mission: Back-end sur Audit accessibilité (projet 15).,2025-11-27,2025-12-10,en_cours
80,63,125,Mission: QA sur Maintenance WordPress (projet 63).,2025-12-18,2025-12-30,en_negociation
81,79,62,Mission: SEO sur Site vitrine (projet 79).,2024-04-22,2024-05-02,en_cours
82,14,59,Mission: QA sur Optimisation SEO (projet 14).,2024-10-01,2024-10-28,en_cours
83,5,86,Mission: Design sur Audit accessibilité (projet 5).,2024-03-27,2024-04-13,en_negociation
84,23,65,Mission: Front-end sur Landing page (projet 23).,2024-05-22,2024-06-10,termine
85,15,22,Mission: Front-end sur Audit accessibilité (projet 15).,2025-11-02,2025-11-24,en_negociation
86,34,115,Mission: Design sur Site vitrine (projet 34).,2024-05-17,2024-05-26,termine
87,71,60,Mission: QA sur Audit accessibilité (projet 71).,2025-08-18,2025-09-14,en_negociation
88,56,136,Mission: Front-end sur Maintenance WordPress (projet 56).,2025-10-23,2025-10-28,termine
89,11,130,Mission: QA sur Développement Back-office (projet 11).,2025-04-07,2025-04-17,en_cours
90,37,2,Mission: Design sur Site vitrine (projet 37).,2025-08-16,2025-09-03,en_cours
91,2,127,Mission: Front-end sur Site e-commerce (projet 2).,2025-10-18,2025-10-30,en_cours
92,42,105,Mission: QA sur Audit accessibilité (projet 42).,2025-05-26,2025-06-02,termine
93,51,57,Mission: Design sur Site vitrine (projet 51).,2024-03-12,2024-03-17,en_cours
94,19,118,Mission: SEO sur Maintenance WordPress (projet 19).,2024-06-25,2024-07-08,termine
95,3,64,Mission: QA sur Développement Back-office (projet 3).,2025-05-19,2025-06-07,en_cours
96,70,109,Mission: SEO sur Maintenance WordPress (projet 70).,2025-01-17,2025-01-26,en_cours
97,14,126,Mission: SEO sur Optimisation SEO (projet 14).,2024-12-01,2024-12-25,termine
98,55,123,Mission: SEO sur Intégration API (projet 55).,2025-11-27,2025-12-25,en_negociation
99,16,102,Mission: Back-end sur Site vitrine (projet 16).,2024-06-17,2024-07-19,termine
100,18,78,Mission: Front-end sur Site e-commerce (projet 18).,2025-11-03,2025-11-21,termine
101,64,44,Mission: Design sur Maintenance WordPress (projet 64).,2024-10-27,2024-11-18,en_negociation
102,30,6,Mission: Back-end sur Optimisation SEO (projet 30).,2024-05-22,2024-06-17,en_cours
103,3,48,Mission: Back-end sur Développement Back-office (projet 3).,2025-06-01,2025-06-07,en_cours
104,25,74,Mission: QA sur Site vitrine (projet 25).,2025-02-24,2025-03-17,en_cours
105,54,123,Mission: QA sur Dashboard analytics (projet 54).,2025-03-09,2025-03-28,en_cours
106,26,22,Mission: QA sur Site e-commerce (projet 26).,2025-01-22,2025-01-23,en_cours
