id_projet,id_client,description,statut,date_creation,date_fin,remuneration,titre,attentes,budget,id_intervenant
1,19,Site e-commerce pour Airbus (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-04-13,2024-08-07,9920.17,Site e-commerce,"Lancer une boutique en ligne performante, optimiser le parcours d’achat et le SEO, suivre les conversions.",54935.97,94
2,17,Site e-commerce pour Capgemini (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2025-10-06,2025-10-30,7723.93,Site e-commerce,"Lancer une boutique en ligne performante, optimiser le parcours d’achat et le SEO, suivre les conversions.",47317.05,56
3,12,Développement Back-office pour Bouygues Telecom (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2025-04-29,2025-06-07,12188.19,Développement Back-office,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",56159.97,112
4,1,Site vitrine pour Thales (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2024-08-02,2024-11-05,7791.45,Site vitrine,"Créer un site clair et responsive, améliorer la visibilité, et faciliter la prise de contact.",47392.93,52
5,14,Audit accessibilité pour BNP Paribas (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2024-03-20,2024-04-13,3085.95,Audit accessibilité,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",37373.1,77
6,20,Développement Back-office pour EDF (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-05-14,2025-07-07,5010.07,Développement Back-office,"Moderniser les outils, améliorer la performance et assurer la scalabilité des solutions.",32424.47,32
7,12,Site e-commerce pour Bouygues Telecom (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2025-09-29,2026-01-17,3624.35,Site e-commerce,"Lancer une boutique en ligne performante, optimiser le parcours d’achat et le SEO, suivre les conversions.",35738.04,22
8,18,Développement Back-office pour Orange Business (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2025-11-02,2025-11-28,2438.05,Développement Back-office,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",13187.82,126
9,19,Audit accessibilité pour Airbus (réalisé par la Junior-Entreprise Télécom Nancy).,en_attente_de_paiement,2024-10-30,2024-12-20,8768.12,Audit accessibilité,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",46201.85,124
10,11,Maintenance WordPress pour La Poste (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-11-16,2025-12-15,4991.78,Maintenance WordPress,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",33212.61,75
11,19,Développement Back-office pour Airbus (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2025-03-31,2025-04-25,10302.82,Développement Back-office,"Améliorer l’efficacité opérationnelle, digitaliser les processus et fiabiliser le suivi des indicateurs.",45493.23,35
12,15,Dashboard analytics pour L'Oréal (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-05-23,2024-08-04,6674.33,Dashboard analytics,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",35723.74,38
13,4,Refonte UI/UX pour Société Générale (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-12-08,2025-04-03,4482.57,Refonte UI/UX,"Sécuriser les flux et la conformité, automatiser le reporting et améliorer l’expérience client.",31065.01,123
14,12,Optimisation SEO pour Bouygues Telecom (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2024-09-30,2025-01-04,7093.11,Optimisation SEO,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",36679.02,45
15,17,Audit accessibilité pour Capgemini (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-10-31,2025-12-10,484.14,Audit accessibilité,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",5372.83,43
16,18,Site vitrine pour Orange Business (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-05-20,2024-08-18,5970.42,Site vitrine,"Créer un site clair et responsive, améliorer la visibilité, et faciliter la prise de contact.",33375.49,8
17,13,Audit accessibilité pour BlaBlaCar (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-10-03,2025-11-06,6291.16,Audit accessibilité,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",40634.93,63
18,7,Site e-commerce pour Eiffage (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-10-23,2025-11-21,6428.83,Site e-commerce,"Lancer une boutique en ligne performante, optimiser le parcours d’achat et le SEO, suivre les conversions.",27370.56,80
19,16,Maintenance WordPress pour Crédit Agricole (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-05-10,2024-07-08,4306.59,Maintenance WordPress,"Sécuriser les flux et la conformité, automatiser le reporting et améliorer l’expérience client.",19228.48,16
20,14,Intégration API pour BNP Paribas (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-04-12,2025-04-29,3792.69,Intégration API,"Sécuriser les flux et la conformité, automatiser le reporting et améliorer l’expérience client.",24100.83,99
21,5,Maintenance WordPress pour Schneider Electric (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2024-06-06,2024-06-25,8341.32,Maintenance WordPress,"Moderniser les outils, améliorer la performance et assurer la scalabilité des solutions.",35068.12,11
22,14,Intégration API pour BNP Paribas (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2025-11-15,2025-12-27,631.92,Intégration API,"Sécuriser les flux et la conformité, automatiser le reporting et améliorer l’expérience client.",4721.3,119
23,10,Landing page pour Carrefour (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2024-05-20,2024-06-10,7364.33,Landing page,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",50827.59,13
24,4,Site e-commerce pour Société Générale (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-12-15,2024-12-30,5211.32,Site e-commerce,"Lancer une boutique en ligne performante, optimiser le parcours d’achat et le SEO, suivre les conversions.",46663.93,82
25,7,Site vitrine pour Eiffage (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-01-22,2025-03-17,1820.77,Site vitrine,"Créer un site clair et responsive, améliorer la visibilité, et faciliter la prise de contact.",8163.85,4
26,16,Site e-commerce pour Crédit Agricole (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-12-29,2025-01-23,6004.83,Site e-commerce,"Lancer une boutique en ligne performante, optimiser le parcours d’achat et le SEO, suivre les conversions.",48234.44,76
27,20,Refonte UI/UX pour EDF (réalisé par la Junior-Entreprise Télécom Nancy).,en_attente_de_paiement,2024-12-17,2025-03-08,3170.22,Refonte UI/UX,"Moderniser les outils, améliorer la performance et assurer la scalabilité des solutions.",12754.94,25
28,4,Intégration API pour Société Générale (réalisé par la Junior-Entreprise Télécom Nancy).,en_attente_de_paiement,2025-04-14,2025-06-05,1312.85,Intégration API,"Sécuriser les flux et la conformité, automatiser le reporting et améliorer l’expérience client.",7300.51,39
29,3,Développement Back-office pour Vinci (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2025-03-01,2025-06-26,756.72,Développement Back-office,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",5886.03,94
30,13,Optimisation SEO pour BlaBlaCar (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2024-03-19,2024-06-17,4003.97,Optimisation SEO,"Moderniser les outils, améliorer la performance et assurer la scalabilité des solutions.",26690.36,95
31,11,Développement Back-office pour La Poste (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-03-24,2025-05-06,6238.14,Développement Back-office,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",47171.27,120
32,10,Site vitrine pour Carrefour (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2025-02-13,2025-05-10,3786.99,Site vitrine,"Créer un site clair et responsive, améliorer la visibilité, et faciliter la prise de contact.",24039.88,59
33,19,Développement Back-office pour Airbus (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-05-18,2025-09-10,1632.87,Développement Back-office,"Améliorer l’efficacité opérationnelle, digitaliser les processus et fiabiliser le suivi des indicateurs.",18388.27,83
34,6,Site vitrine pour Kering (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-04-27,2024-06-10,2532.92,Site vitrine,"Créer un site clair et responsive, améliorer la visibilité, et faciliter la prise de contact.",30398.39,38
35,1,Maintenance WordPress pour Thales (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2025-03-30,2025-06-20,425.16,Maintenance WordPress,"Améliorer l’efficacité opérationnelle, digitaliser les processus et fiabiliser le suivi des indicateurs.",4372.06,136
36,4,Landing page pour Société Générale (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2024-12-18,2025-02-19,6801.38,Landing page,"Sécuriser les flux et la conformité, automatiser le reporting et améliorer l’expérience client.",31679.16,84
37,15,Site vitrine pour L'Oréal (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2025-06-30,2025-09-26,8038.57,Site vitrine,"Créer un site clair et responsive, améliorer la visibilité, et faciliter la prise de contact.",32404.37,54
38,20,Dashboard analytics pour EDF (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2025-07-26,2025-08-15,858.03,Dashboard analytics,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",10561.96,50
39,19,Développement Back-office pour Airbus (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2024-10-03,2024-11-04,4591.35,Développement Back-office,"Améliorer l’efficacité opérationnelle, digitaliser les processus et fiabiliser le suivi des indicateurs.",46319.76,64
40,1,Développement Back-office pour Thales (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2024-12-02,2025-01-13,4861.98,Développement Back-office,"Améliorer l’efficacité opérationnelle, digitaliser les processus et fiabiliser le suivi des indicateurs.",24583.63,80
41,14,Site e-commerce pour BNP Paribas (réalisé par la Junior-Entreprise Télécom Nancy).,en_attente_de_paiement,2025-04-17,2025-08-02,7276.81,Site e-commerce,"Lancer une boutique en ligne performante, optimiser le parcours d’achat et le SEO, suivre les conversions.",36546.8,34
42,15,Audit accessibilité pour L'Oréal (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-05-06,2025-06-20,2062.41,Audit accessibilité,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",8947.25,57
43,15,Optimisation SEO pour L'Oréal (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2024-05-08,2024-06-25,3503.15,Optimisation SEO,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",31573.55,67
44,17,Maintenance WordPress pour Capgemini (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-04-29,2025-07-19,8867.68,Maintenance WordPress,"Moderniser les outils, améliorer la performance et assurer la scalabilité des solutions.",36974.08,120
45,8,Développement Back-office pour Sanofi (réalisé par la Junior-Entreprise Télécom Nancy).,en_attente_de_paiement,2024-07-21,2024-10-01,6084.74,Développement Back-office,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",30485.95,22
46,1,Site vitrine pour Thales (réalisé par la Junior-Entreprise Télécom Nancy).,en_attente_de_paiement,2024-05-12,2024-06-06,14372.56,Site vitrine,"Créer un site clair et responsive, améliorer la visibilité, et faciliter la prise de contact.",59448.6,43
47,4,Site e-commerce pour Société Générale (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2024-09-05,2024-10-04,6758.07,Site e-commerce,"Lancer une boutique en ligne performante, optimiser le parcours d’achat et le SEO, suivre les conversions.",54166.19,35
48,9,Développement Back-office pour Decathlon (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-08-17,2025-10-30,5397.32,Développement Back-office,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",23018.6,46
