id_interaction,date,id_projet,id_client,id_intervenant,resume,prochaine_interaction,type_interaction
1,2025-10-24,2,17,84,Suivi projet web (Site e-commerce) avec Capgemini.,2025-11-03,email
2,2024-10-27,64,14,50,Suivi projet web (Maintenance WordPress) avec BNP Paribas.,2024-11-09,appel
3,2025-01-29,27,20,82,Suivi projet web (Refonte UI/UX) avec EDF.,2025-02-13,réunion
4,2025-01-08,13,4,25,Suivi projet web (Refonte UI/UX) avec Société Générale.,2025-01-29,appel
5,2024-03-12,72,16,116,Suivi projet web (Audit accessibilité) avec Crédit Agricole.,2024-03-21,réunion
6,2025-10-15,60,2,34,Suivi projet web (Site vitrine) avec Michelin.,2025-10-29,ticket
7,2024-07-27,21,5,93,Suivi projet web (Maintenance WordPress) avec Schneider Electric.,2024-08-13,réunion
8,2025-09-06,60,2,137,Suivi projet web (Site vitrine) avec Michelin.,2025-09-23,réunion
9,2024-12-06,64,14,118,Suivi projet web (Maintenance WordPress) avec BNP Paribas.,2024-12-22,appel
10,2025-11-30,52,15,64,Suivi projet web (Site e-commerce) avec L'Oréal.,2025-12-07,réunion
11,2024-12-15,24,4,135,Suivi projet web (Site e-commerce) avec Société Générale.,2025-01-01,réunion
12,2025-12-11,22,14,91,Suivi projet web (Intégration API) avec BNP Paribas.,2025-12-24,email
13,2024-05-24,34,6,126,Suivi projet web (Site vitrine) avec Kering.,2024-06-10,email
14,2024-10-11,14,12,112,Suivi projet web (Optimisation SEO) avec Bouygues Telecom.,2024-10-18,visio
15,2025-06-08,28,4,134,Suivi projet web (Intégration API) avec Société Générale.,2025-06-17,appel
16,2024-04-14,68,9,5,Suivi projet web (Développement Back-office) avec Decathlon.,2024-05-04,appel
17,2024-06-15,67,19,70,Suivi projet web (Intégration API) avec Airbus.,2024-06-26,appel
18,2025-01-03,27,20,46,Suivi projet web (Refonte UI/UX) avec EDF.,2025-01-21,email
19,2025-11-19,8,18,63,Suivi projet web (Développement Back-office) avec Orange Business.,2025-11-30,appel
20,2025-01-28,66,10,33,Suivi projet web (Maintenance WordPress) avec Carrefour.,2025-02-10,visio
21,2025-11-22,56,11,7,Suivi projet web (Maintenance WordPress) avec La Poste.,2025-12-02,email
22,2025-11-13,15,17,70,Suivi projet web (Audit accessibilité) avec Capgemini.,2025-11-21,réunion
23,2025-07-19,71,8,43,Suivi projet web (Audit accessibilité) avec Sanofi.,2025-07-29,ticket
24,2025-06-19,6,20,130,Suivi projet web (Développement Back-office) avec EDF.,2025-07-10,appel
25,2025-12-01,55,1,82,Suivi projet web (Intégration API) avec Thales.,2025-12-13,appel
26,2025-09-28,57,15,77,Suivi projet web (Audit accessibilité) avec L'Oréal.,2025-10-10,email
27,2024-10-13,39,19,108,Suivi projet web (Développement Back-office) avec Airbus.,2024-10-27,réunion
28,2025-10-04,57,15,122,Suivi projet web (Audit accessibilité) avec L'Oréal.,2025-10-17,email
29,2024-05-09,5,14,60,Suivi projet web (Audit accessibilité) avec BNP Paribas.,2024-05-24,réunion
30,2024-03-18,68,9,70,Suivi projet web (Développement Back-office) avec Decathlon.,2024-04-07,appel
31,2025-06-27,71,8,64,Suivi projet web (Audit accessibilité) avec Sanofi.,2025-07-14,ticket
32,2024-04-24,1,19,5,Suivi projet web (Site e-commerce) avec Airbus.,2024-05-05,ticket
33,2025-05-17,42,15,122,Suivi projet web (Audit accessibilité) avec L'Oréal.,2025-05-27,ticket
34,2025-05-09,28,4,47,Suivi projet web (Intégration API) avec Société Générale.,2025-05-27,réunion
35,2025-09-25,58,1,6,Suivi projet web (Intégration API) avec Thales.,2025-10-02,visio
36,2025-06-10,28,4,5,Suivi projet web (Intégration API) avec Société Générale.,2025-06-18,réunion
37,2024-09-09,4,1,81,Suivi projet web (Site vitrine) avec Thales.,2024-09-21,ticket
38,2025-02-09,70,9,15,Suivi projet web (Maintenance WordPress) avec Decathlon.,2025-02-27,email
39,2025-06-16,42,15,116,Suivi projet web (Audit accessibilité) avec L'Oréal.,2025-06-25,appel
40,2025-12-30,22,14,93,Suivi projet web (Intégration API) avec BNP Paribas.,2026-01-06,visio
41,2025-12-16,15,17,17,Suivi projet web (Audit accessibilité) avec Capgemini.,2025-12-23,ticket
42,2024-06-05,43,15,55,Suivi projet web (Optimisation SEO) avec L'Oréal.,2024-06-15,email
43,2025-05-03,3,12,42,Suivi projet web (Développement Back-office) avec Bouygues Telecom.,2025-05-15,réunion
